id,estimated_value,asking_price,deadline,bids_avg,bids_count,value_diff,roi
18448049,40863800,50,28/12/25 at 09:05,50.000 baht,0,40863750,81727500.0
18382142,86705300,200000,26/12/25 at 13:24,23.133.150 baht,0,86505300,43252.65
18224804,3554750,77800,26/12/25 at 06:54,-,0,3476950,4469.09
18421101,3878150,87400,26/12/25 at 07:45,-,0,3790750,4337.24
18217147,3147550,71700,26/12/25 at 07:14,-,0,3075850,4289.89
18135802,3149600,80500,26/12/25 at 06:52,811.700 baht,0,3069100,3812.55
17988467,2457450,72800,26/12/25 at 07:29,-,0,2384650,3275.62
18005370,1840050,57650,26/12/25 at 06:41,-,0,1782400,3091.76
18216543,6194000,200000,27/12/25 at 08:37,1.629.000 baht,0,5994000,2997.0
18004899,2461000,91750,26/12/25 at 06:32,-,0,2369250,2582.29
18083486,1883300,105050,26/12/25 at 07:22,-,0,1778250,1692.77
18077115,3203900,186100,26/12/25 at 06:33,-,0,3017800,1621.6
18079196,1541100,128350,26/12/25 at 06:42,-,0,1412750,1100.7
18050597,1888300,176150,26/12/25 at 06:57,-,0,1712150,971.98
18004745,4119700,417700,26/12/25 at 07:18,-,0,3702000,886.28
18179312,3164600,513550,26/12/25 at 07:18,-,0,2651050,516.22
18549585,5691600,1000000,27/12/25 at 13:11,2.198.550 baht,0,4691600,469.16
18449976,9925950,2500000,27/12/25 at 22:02,2.500.000 baht,0,7425950,297.04
18129109,1882450,533200,27/12/25 at 07:31,-,0,1349250,253.05
18039236,4153800,1322550,28/12/25 at 07:13,-,0,2831250,214.08
18380797,3803550,1443150,26/12/25 at 06:39,1.443.150 baht,0,2360400,163.56
18054801,1827600,702350,26/12/25 at 07:13,-,0,1125250,160.21
18120469,5465100,2312300,26/12/25 at 07:39,-,0,3152800,136.35
18558803,33280100,15000000,28/12/25 at 14:20,-,0,18280100,121.87
18052340,27605400,12450000,27/12/25 at 12:28,12.450.000 baht,0,15155400,121.73
18456777,10477350,4896350,28/12/25 at 09:37,-,0,5581000,113.98
18079341,30159100,15043450,27/12/25 at 07:12,-,0,15115650,100.48
18068631,5719550,2854350,27/12/25 at 07:07,2.940.300 baht,0,2865200,100.38
18069471,2429000,1214500,26/12/25 at 06:43,-,0,1214500,100.0
18242889,5935500,2967750,27/12/25 at 06:31,2.967.750 baht,0,2967750,100.0
18427521,14658950,7329500,26/12/25 at 07:05,7.329.500 baht,0,7329450,100.0
18068088,3020050,1510050,26/12/25 at 07:30,-,0,1510000,100.0
18014460,1827600,913800,26/12/25 at 07:07,-,0,913800,100.0
18018588,3236550,1618300,28/12/25 at 06:34,1.631.750 baht,0,1618250,100.0
18056386,3041800,1520900,28/12/25 at 07:35,-,0,1520900,100.0
18331276,4381000,2190500,28/12/25 at 07:11,2.201.900 baht,0,2190500,100.0
18465255,9887800,4943900,28/12/25 at 06:36,5.277.400 baht,0,4943900,100.0
